2017-01-09 15:02:14,575 [INFO] Training: ...zon/clothes_shoes/train0.2_folder_1, Testing:: ...azon/clothes_shoes/test0.2_folder_1.
2017-01-09 15:02:15,239 [DEBUG] User amount: 39380, item amount: 23032
2017-01-09 15:02:15,239 [DEBUG] Rate amount: 222942, scales: {1.0}
2017-01-09 15:02:15,603 [DEBUG] User amount: 39380, item amount: 23032
2017-01-09 15:02:15,603 [DEBUG] Rate amount: 55695, scales: {1.0}
2017-01-09 15:02:15,949 [INFO] RankMBPR: 30,5.0E-4,0.5,0.5,1800,10,1600,12000,1.0
2017-01-09 15:11:44,973 [INFO] 104	Whole:0.002090,0.001808,0.005546,0.009543,0.508921,0.003520,0.005747,0.006454,-1
2017-01-09 15:12:50,857 [INFO] 104	Cold:0.001822,0.001590,0.005388,0.009274,0.507871,0.003469,0.005483,0.005736,-1
2017-01-09 15:14:43,418 [INFO] 109	Whole:0.002157,0.001752,0.005767,0.009201,0.508586,0.003462,0.005615,0.006356,-1
2017-01-09 15:15:53,448 [INFO] 109	Cold:0.001832,0.001525,0.005489,0.008908,0.507494,0.003430,0.005357,0.005652,-1
2017-01-09 15:17:39,650 [INFO] 114	Whole:0.002297,0.001778,0.006112,0.009346,0.508687,0.003633,0.005794,0.006568,-1


[INFO ] Training: ...zon/clothes_shoes/train0.2_folder_1, Testing:: ...azon/clothes_shoes/test0.2_folder_1.
[DEBUG] User amount: 39380, item amount: 23032
[DEBUG] Rate amount: 222942, scales: {1.0}
[DEBUG] User amount: 39380, item amount: 23032
[DEBUG] Rate amount: 55695, scales: {1.0}
[INFO ] 289     Whole:0.005646,0.004407,0.015368,0.023849,0.520437,0.009814,0.015073,0.016780,-1
[INFO ] 289     Cold:0.004941,0.003895,0.014401,0.022470,0.518183,0.009094,0.013868,0.014644,-1
[INFO ] 294     Whole:0.005646,0.004417,0.015265,0.023784,0.520521,0.009797,0.015067,0.016781,-1
[INFO ] 294     Cold:0.004881,0.003925,0.014115,0.022752,0.518410,0.009168,0.014016,0.014816,-1
[INFO ] 299     Whole:0.005579,0.004441,0.015335,0.023939,0.520621,0.009865,0.015156,0.016874,-1
[INFO ] 299     Cold:0.004871,0.003955,0.014328,0.022794,0.518561,0.009199,0.014060,0.014875,-1




[INFO ] Training: ...zon/clothes_shoes/train0.2_folder_1, Testing:: ...azon/clothes_shoes/test0.2_folder_1.
[DEBUG] User amount: 39380, item amount: 23032
[DEBUG] Rate amount: 222942, scales: {1.0}
[DEBUG] User amount: 39380, item amount: 23032
[DEBUG] Rate amount: 55695, scales: {1.0}
[INFO ] RankMBPR: 30,0.001,0.42,0.42,800,10,1600,100,0.1
[INFO ] 154	Whole:0.004970,0.003727,0.013288,0.019944,0.517022,0.008385,0.012753,0.014226,-1
[INFO ] 154	Cold:0.004378,0.003326,0.012753,0.019402,0.515291,0.007994,0.012037,0.012632,-1
[INFO ] 159	Whole:0.005023,0.003747,0.013372,0.019994,0.517056,0.008447,0.012841,0.014418,-1
[INFO ] 159	Cold:0.004438,0.003346,0.012860,0.019151,0.515241,0.007934,0.011961,0.012627,-1
[INFO ] 164	Whole:0.005003,0.003784,0.013483,0.020385,0.517357,0.008709,0.013159,0.014873,-1
[INFO ] 164	Cold:0.004348,0.003402,0.012745,0.019810,0.515719,0.008198,0.012332,0.013069,-1
[INFO ] 169	Whole:0.004903,0.003737,0.013326,0.019988,0.517123,0.008790,0.013130,0.014938,-1
[INFO ] 169	Cold:0.004338,0.003286,0.012743,0.018966,0.515191,0.008347,0.012259,0.013216,-1
[INFO ] 174	Whole:0.005177,0.003915,0.013724,0.020980,0.517876,0.008859,0.013458,0.015119,-1
[INFO ] 174	Cold:0.004609,0.003522,0.013124,0.020254,0.516172,0.008458,0.012700,0.013490,-1
[INFO ] 179	Whole:0.005211,0.003935,0.014107,0.021080,0.517943,0.009084,0.013657,0.015325,-1
[INFO ] 179	Cold:0.004609,0.003517,0.013328,0.020443,0.516146,0.008686,0.012914,0.013747,-1
[INFO ] 184	Whole:0.005164,0.003952,0.013898,0.021252,0.518043,0.008923,0.013564,0.015160,-1
[INFO ] 184	Cold:0.004569,0.003507,0.013235,0.020467,0.516146,0.008523,0.012789,0.013624,-1
[INFO ] 189	Whole:0.005198,0.003942,0.014107,0.021115,0.517977,0.009135,0.013714,0.015416,-1
[INFO ] 189	Cold:0.004609,0.003573,0.013479,0.020573,0.516373,0.008700,0.012971,0.013750,-1
[INFO ] 194	Whole:0.005399,0.004049,0.014693,0.021855,0.518646,0.009363,0.014116,0.015876,-1
[INFO ] 194	Cold:0.004821,0.003593,0.014090,0.020915,0.516624,0.009027,0.013355,0.014376,-1
[INFO ] 199	Whole:0.005452,0.004069,0.014814,0.021775,0.518596,0.009313,0.014071,0.015875,-1
[INFO ] 199	Cold:0.004851,0.003683,0.014218,0.021254,0.516851,0.008996,0.013419,0.014317,-1
[INFO ] 204	Whole:0.005432,0.004123,0.014637,0.022150,0.518864,0.009560,0.014363,0.016137,-1
[INFO ] 204	Cold:0.004871,0.003683,0.014082,0.021420,0.516951,0.009197,0.013632,0.014631,-1
[INFO ] 209	Whole:0.005539,0.004109,0.015029,0.021959,0.518730,0.009555,0.014331,0.016183,-1
[INFO ] 209	Cold:0.004962,0.003709,0.014514,0.021340,0.516977,0.009167,0.013608,0.014588,-1
[INFO ] 214	Whole:0.005579,0.004156,0.015050,0.022511,0.519015,0.009826,0.014688,0.016656,-1
[INFO ] 214	Cold:0.004982,0.003678,0.014475,0.021525,0.516952,0.009284,0.013732,0.014797,-1
[INFO ] 219	Whole:0.005553,0.004173,0.015051,0.022533,0.519065,0.009931,0.014791,0.016854,-1
[INFO ] 219	Cold:0.004911,0.003683,0.014397,0.021433,0.517002,0.009422,0.013833,0.014981,-1
